All songs with albums
El Phantasmo And The Chicken-Run Blast-O-Rama      | Astro-Creep         
Electric Head Pt. 1 (The Agony)                    | Astro-Creep         
Electric Head Pt. 2 (The Ecstasy)                  | Astro-Creep         
Grease Paint And Monkey Brains                     | Astro-Creep         
I Zombie                                           | Astro-Creep         
More Human Than Human                              | Astro-Creep         
Real Solution #9                                   | Astro-Creep         
Super-Charger Heaven                               | Astro-Creep         
Crazy Annie                                        | Athens Andover      
Deja Vu                                            | Athens Andover      
Don't You Know                                     | Athens Andover      
Dust Bowl                                          | Athens Andover      
Hot Stuff                                          | Athens Andover      
I'm In Control                                     | Athens Andover      
Nowhere Road                                       | Athens Andover      
Suspicious                                         | Athens Andover      
Together                                           | Athens Andover      
Tuned Into Love                                    | Athens Andover      
What's Your Game                                   | Athens Andover      
Alan's Psychedelic Breakfast (1994 Digital Remaster) | Atom Heart Mother   
Atom Heart Mother (1994 Digital Remaster)          | Atom Heart Mother   
Fat Old Sun (1994 Digital Remaster)                | Atom Heart Mother   
If (1994 Digital Remaster)                         | Atom Heart Mother   
Summer '68 (1994 Digital Remaster)                 | Atom Heart Mother   
All You Ever Wanted                                | Attack & Release    
I Got Mine                                         | Attack & Release    
Lies                                               | Attack & Release    
Oceans And Streams                                 | Attack & Release    
Psychotic Girl                                     | Attack & Release    
Remember When (Side A)                             | Attack & Release    
Remember When (Side B)                             | Attack & Release    
Same Old Thing                                     | Attack & Release    
So He Won't Break                                  | Attack & Release    
Strange Times                                      | Attack & Release    
Things Ain't Like They Used To Be                  | Attack & Release    
Black Dog                                          | BBC Sessions        
Communication Breakdown                            | BBC Sessions        
Communication Breakdown                            | BBC Sessions        
Communication Breakdown                            | BBC Sessions        
Dazed And Confused                                 | BBC Sessions        
Dazed And Confused                                 | BBC Sessions        
Going To California                                | BBC Sessions        
Heartbreaker                                       | BBC Sessions        
How Many More Times                                | BBC Sessions        
I Can't Quit You Baby                              | BBC Sessions        
I Can't Quit You Baby                              | BBC Sessions        
Immigrant Song                                     | BBC Sessions        
Since I've Been Loving You                         | BBC Sessions        
Somethin' Else                                     | BBC Sessions        
Stairway To Heaven                                 | BBC Sessions        
Thank You                                          | BBC Sessions        
That's The Way                                     | BBC Sessions        
The Girl I Love She Got Long Black Wavy Hair       | BBC Sessions        
Travelling Riverside Blues                         | BBC Sessions        
What Is And What Should Never Be                   | BBC Sessions        
Whole Lotta Love                                   | BBC Sessions        
Whole Lotta Love (Medley)                          | BBC Sessions        
You Shook Me                                       | BBC Sessions        
You Shook Me                                       | BBC Sessions        
An Englishman on Holiday                           | Backstreet Symphony 
Back Street Symphony                               | Backstreet Symphony 
Dirty Love                                         | Backstreet Symphony 
Distant Thunder                                    | Backstreet Symphony 
Don't Wait for Me                                  | Backstreet Symphony 
Gimme Some Lovin'                                  | Backstreet Symphony 
Girl's Going out of Her Head                       | Backstreet Symphony 
Higher Ground                                      | Backstreet Symphony 
Love Walked In                                     | Backstreet Symphony 
She's So Fine                                      | Backstreet Symphony 
Until My Dying Day                                 | Backstreet Symphony 
Badge (Cream)                                      | Backtrackin'        
Blues Power                                        | Backtrackin'        
Can't Find My Way Home                             | Backtrackin'        
Cocaine                                            | Backtrackin'        
Crossroads (Cream)                                 | Backtrackin'        
Further on Up the Road                             | Backtrackin'        
Have You Ever Loved a Woman (Derek & The Dominos)  | Backtrackin'        
I Shot the Sheriff                                 | Backtrackin'        
Knockin' on Heavens Door                           | Backtrackin'        
Lay Down Sally                                     | Backtrackin'        
Layla (Derek & The Dominos)                        | Backtrackin'        
Let It Rain                                        | Backtrackin'        
Little Wing (Derek & The Dominos)                  | Backtrackin'        
Presence of the Lord (Blind Faith)                 | Backtrackin'        
Promises                                           | Backtrackin'        
Roll it Over (Derek & The Dominos)                 | Backtrackin'        
Spoonful (Cream)                                   | Backtrackin'        
Strange Brew                                       | Backtrackin'        
Sunshine Of Your Love                              | Backtrackin'        
Swing Low Sweet Chariot                            | Backtrackin'        
Tales Of Brave Ulysses                             | Backtrackin'        
Wonderful Tonight                                  | Backtrackin'        
Bad Company                                        | Bad Company         
Can't Get Enough                                   | Bad Company         
Don't Let Me Down                                  | Bad Company         
Movin' On                                          | Bad Company         
Ready For Love                                     | Bad Company         
Rock Steady                                        | Bad Company         
Seagull                                            | Bad Company         
The Way I Choose                                   | Bad Company         
Act 1 - Polka                                      | Bartered Bride Overture
Act 2 - Furiant                                    | Bartered Bride Overture
Overture                                           | Bartered Bride Overture
Skocná (Dance of the Comedians)                    | Bartered Bride Overture
All Revved Up With No Place To Go                  | Bat Out Of Hell     
Bat Out Of Hell                                    | Bat Out Of Hell     
Bat Out Of Hell (Live)                             | Bat Out Of Hell     
Boléro (Live Intro)                                | Bat Out Of Hell     
Dead Ringer For Love                               | Bat Out Of Hell     
For Crying Out Loud                                | Bat Out Of Hell     
Heaven Can Wait                                    | Bat Out Of Hell     
Paradise By The Dashboard Light                    | Bat Out Of Hell     
Two Out Of Three Ain't Bad                         | Bat Out Of Hell     
You Took The Words Right Out Of My Mouth (Hot Summer Night) | Bat Out Of Hell     
Alive                                              | Bat Out Of Hell 3   
Bad For Good                                       | Bat Out Of Hell 3   
Blind As A Bat                                     | Bat Out Of Hell 3   
Cry Over Me                                        | Bat Out Of Hell 3   
Cry To Heaven                                      | Bat Out Of Hell 3   
If God Could Talk                                  | Bat Out Of Hell 3   
If It Ain't Broke Break It                         | Bat Out Of Hell 3   
In The Land Of The Pig The Butcher Is King         | Bat Out Of Hell 3   
It's All Coming Back To Me Now                     | Bat Out Of Hell 3   
Monstro                                            | Bat Out Of Hell 3   
Seize The Night                                    | Bat Out Of Hell 3   
